folder,ID,Name,Lat,Lon,Alt,Vbl,Stat,Units,Source,Link,year_start,year_end,n_records,n_unique_years,filepath
Zurich,ZH01_Zurich_Ulrich,Zürich,47.370000,8.474000,420,Tx,maximum,C,CHIMES,https://doi.org/10.5194/cp-15-1345-2019,1836,1848,4590,13,/scratch3/PALAEO-RA/daily_data/final/Zurich/CHIMES_Zurich_Ulrich_18360101-18481231_Tx_daily_qc.tsv
Dublin,ILMMT-Dublin-RCS,Dublin,53.339,-6.261,11,Tx,minimum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1841,1857,4347,15,/scratch3/PALAEO-RA/daily_data/final/Dublin/ILMMT_Dublin-RCS_Evans_18411226-18571219_Tx_daily_qc.tsv
Dublin,ILMMT-Dublin-TrinityCollege,Dublin,53.344,-6.258,8,Tx,maximum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1841,1959,24563,69,/scratch3/PALAEO-RA/daily_data/final/Dublin/ILMMT_Dublin-TrinityCollege_18400501-19591231_Tx_daily_qc.tsv
Dublin,ILMMT-Dublin-GraftonStreet_Yaetes,Dublin,53.342,-6.259,12,Tx,maximum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1843,1849,2556,7,/scratch3/PALAEO-RA/daily_data/final/Dublin/ILMMT_Dublin-GraftonStreet_Yaetes_18430101-18491231_Tx_daily_qc.tsv
Portarlington,ILMMT-Portarlington,Portarlington,53.15,-7.2,70.1,Tx,minimum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1845,1864,5246,20,/scratch3/PALAEO-RA/daily_data/final/Portarlington/ILMMT_Portarlington_18451221-18640730_Tx_daily_qc.tsv
Bern,BE01_Bern_Trechsel,Bern,46.948056,7.451607,542,Tx,max,C,CHIMES,https://doi.org/10.5194/cp-15-1345-2019,1848,1849,639,2,/scratch3/PALAEO-RA/daily_data/final/Bern/CHIMES_Bern_Trechsel_18480101-18490930_Tx_daily_qc.tsv
Dublin,ILMMT-Dublin-DameStreet,Dublin,53.344,-6.263,10,Tx,maximum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1849,1858,2999,10,/scratch3/PALAEO-RA/daily_data/final/Dublin/ILMMT_Dublin-DameStreet_18491203-18580401_Tx_daily_qc.tsv
Morges,VD04_Morges,Morges,46.501,6.488,383,Tx,max,C,CHIMES,https://doi.org/10.5194/cp-15-1345-2019,1849,1854,1839,6,/scratch3/PALAEO-RA/daily_data/final/Morges/CHIMES_Morges_18491101-18541130_Tx_daily_qc.tsv
Athy,ILMMT-Athy,Athy,53,-6.967,61,Tx,maximum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1850,1852,517,3,/scratch3/PALAEO-RA/daily_data/final/Athy/ILMMT_Athy_18501201-18520430_Tx_daily_qc.tsv
Buncrana,ILMMT-Buncrana,Buncrana,55.133,-7.45,15,Tx,maximum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1850,1851,457,2,/scratch3/PALAEO-RA/daily_data/final/Buncrana/ILMMT_Buncrana_18501001-18511231_Tx_daily_qc.tsv
Castletownshend,ILMMT-Castletownshend,Castletownshend,51.55,-9.15,5.5,Tx,maximum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1850,1851,457,2,/scratch3/PALAEO-RA/daily_data/final/Castletownshend/ILMMT_Castletownshend_18501001-18511231_Tx_daily_qc.tsv
Courtown,ILMMT-Courtown,Courtown,52.65,-6.217,10.4,Tx,maximum,C,"Mateus, C., Potito, A., & Curley, M. (2020). Reconstruction of a long‐term historical daily maximum and minimum air temperature network dataset for Ireland (1831‐1968). Geoscience Data Journal, 7(2), 102-115.",https://www.edepositireland.ie/entities/publication/7271837d-dbe6-463f-b103-422f42a15446,1850,1852,488,3,/scratch3/PALAEO-RA/daily_data/final/Courtown/ILMMT_Courtown_18501001-18520131_Tx_daily.tsv
