station_source,variable,folder,start,end,span_days,span_years,covered_days,n_files,n_blocks,max_gap_days,blocks,file_list
Eidsberg,p,Eidsberg,1787-01-01,1787-12-31,365,1.00,365,1,1,0,1787-01-01..1787-12-31,/scratch3/PALAEO-RA/daily_data/final/Eidsberg/Eidsberg_17870101-17871231_p_daily_qc.tsv
Eidsberg,ta,Eidsberg,1787-01-01,1787-12-31,365,1.00,365,1,1,0,1787-01-01..1787-12-31,/scratch3/PALAEO-RA/daily_data/final/Eidsberg/Eidsberg_17870101-17871231_ta_daily_qc.tsv
Eidsberg,w,Eidsberg,1787-01-01,1787-12-31,365,1.00,365,1,1,0,1787-01-01..1787-12-31,/scratch3/PALAEO-RA/daily_data/final/Eidsberg/Eidsberg_17870101-17871231_w_subdaily.tsv
ElKala,ta,ElKala,1877-04-08,1922-12-31,16703,45.73,16703,1,1,0,1877-04-08..1922-12-31,/scratch3/PALAEO-RA/daily_data/final/ElKala/ElKala_18770408-19221231_ta_subdaily.tsv
Erfurt,dd,Erfurt,1781-01-01,1788-12-31,2922,8.00,2922,1,1,0,1781-01-01..1788-12-31,/scratch3/PALAEO-RA/daily_data/final/Erfurt/Erfurt_17810101-17881231_dd_subdaily_qc.tsv
Erfurt,p,Erfurt,1781-01-01,1788-12-31,2922,8.00,2557,2,2,365,1781-01-01..1786-12-31; 1788-01-01..1788-12-31,/scratch3/PALAEO-RA/daily_data/final/Erfurt/Erfurt_17810101-17861231_p_subdaily_qc.tsv|/scratch3/PALAEO-RA/daily_data/final/Erfurt/Erfurt_17880101-17881231_p_daily_qc.tsv
Erfurt,ta,Erfurt,1781-01-01,1788-12-31,2922,8.00,2557,2,2,365,1781-01-01..1786-12-31; 1788-01-01..1788-12-31,/scratch3/PALAEO-RA/daily_data/final/Erfurt/Erfurt_17810101-17861231_ta_subdaily_qc.tsv|/scratch3/PALAEO-RA/daily_data/final/Erfurt/Erfurt_17880101-17881231_ta_daily_qc.tsv
Erfurt,w,Erfurt,1781-01-01,1788-12-31,2922,8.00,2922,1,1,0,1781-01-01..1788-12-31,/scratch3/PALAEO-RA/daily_data/final/Erfurt/Erfurt_17810101-17881231_w_subdaily.tsv
Extremadura-Alange,dd,Extremadura,1882-06-24,1893-09-30,4117,11.27,3851,2,2,266,1882-06-24..1884-09-30; 1885-06-24..1893-09-30,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Alange_18820624-18840930_dd_daily_qc.tsv|/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Alange_18850624-18930930_dd_subdaily_qc.tsv
Extremadura-Alange,p,Extremadura,1866-07-01,1893-09-30,9954,27.25,4301,3,3,5014,1866-07-01..1866-09-30; 1868-07-01..1868-09-30; 1882-06-24..1893-09-30,/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Alange_18660701-18660930_p_subdaily_qc.tsv|/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Alange_18680701-18680930_p_subdaily_qc.tsv|/scratch3/PALAEO-RA/daily_data/final/Extremadura/Extremadura-Alange_18820624-18930930_p_subdaily_qc.tsv
