dirname,filename,variable,year
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1852
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1853
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1854
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1855
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1856
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1857
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1858
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1859
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1860
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1861
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1862
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1863
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1864
Aarau,CHIMES_Aarau_Zschogge_18070101-18651231_ta_subdaily_qc.tsv,ta,1865
Aarau,CHIMES_Aarau_Zschogge_18570401-18651231_rr_subdaily_qc.tsv,rr,1857
Aarau,CHIMES_Aarau_Zschogge_18570401-18651231_rr_subdaily_qc.tsv,rr,1858
Aarau,CHIMES_Aarau_Zschogge_18570401-18651231_rr_subdaily_qc.tsv,rr,1859
Aarau,CHIMES_Aarau_Zschogge_18570401-18651231_rr_subdaily_qc.tsv,rr,1860
Aarau,CHIMES_Aarau_Zschogge_18570401-18651231_rr_subdaily_qc.tsv,rr,1861
Aarau,CHIMES_Aarau_Zschogge_18570401-18651231_rr_subdaily_qc.tsv,rr,1862
Aarau,CHIMES_Aarau_Zschogge_18570401-18651231_rr_subdaily_qc.tsv,rr,1863
Aarau,CHIMES_Aarau_Zschogge_18570401-18651231_rr_subdaily_qc.tsv,rr,1864
Aarau,CHIMES_Aarau_Zschogge_18570401-18651231_rr_subdaily_qc.tsv,rr,1865
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1874
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1875
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1876
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1877
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1878
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1879
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1880
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1881
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1882
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1883
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1884
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1885
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1886
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1887
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1888
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1889
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1890
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1891
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1892
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1893
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1894
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1895
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1896
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1897
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1898
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1899
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1900
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1901
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1902
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1903
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1904
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1905
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1906
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1907
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1908
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1909
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1910
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1911
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1912
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1913
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1914
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1915
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1916
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1917
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1918
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1919
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1920
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1921
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1922
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1923
Aas,GHCNd_Gronbaek-Allingskovgard_18740901-20181231_rr_daily.tsv,rr,1924
