station_source,variable,folder,start,end,span_days,span_years,covered_days,n_files,n_blocks,max_gap_days,blocks,file_list
MEDARE_Oran_60461,p,Oran,1852-01-01,1966-12-31,42003,115.00,42003,1,1,0,1852-01-01..1966-12-31,/scratch3/PALAEO-RA/daily_data/final/Oran/MEDARE_Oran_60461_18520101-19661231_p_daily.tsv
MEDARE_Orleansville-Chlef,rr,Chlef,1879-01-01,1938-12-31,21914,60.00,21914,1,1,0,1879-01-01..1938-12-31,/scratch3/PALAEO-RA/daily_data/final/Chlef/MEDARE_Orleansville-Chlef_18790101-19381231_rr_daily.tsv
MEDARE_Orleansville-Chlef_60425,p,Chlef,1879-01-01,1938-12-31,21914,60.00,21914,1,1,0,1879-01-01..1938-12-31,/scratch3/PALAEO-RA/daily_data/final/Chlef/MEDARE_Orleansville-Chlef_60425_18790101-19381231_p_daily.tsv
MEDARE_Port-Said,p,PortSaid,1884-01-01,1957-12-31,27028,74.00,27028,1,1,0,1884-01-01..1957-12-31,/scratch3/PALAEO-RA/daily_data/final/PortSaid/MEDARE_Port-Said_18840101-19571231_p_daily.tsv
MEDARE_Port-Said,rr,PortSaid,1884-01-01,1957-12-31,27028,74.00,27028,1,1,0,1884-01-01..1957-12-31,/scratch3/PALAEO-RA/daily_data/final/PortSaid/MEDARE_Port-Said_18840101-19571231_rr_daily.tsv
MEDARE_Setif,p,Setif,1878-01-01,1938-12-31,22279,61.00,22279,1,1,0,1878-01-01..1938-12-31,/scratch3/PALAEO-RA/daily_data/final/Setif/MEDARE_Setif_18780101-19381231_p_daily.tsv
MEDARE_Setif,rr,Setif,1878-01-01,1938-12-31,22279,61.00,22279,1,1,0,1878-01-01..1938-12-31,/scratch3/PALAEO-RA/daily_data/final/Setif/MEDARE_Setif_18780101-19381231_rr_daily.tsv
MEDARE_Sfax,rr,Sfax,1886-01-01,1957-12-31,26297,72.00,26297,1,1,0,1886-01-01..1957-12-31,/scratch3/PALAEO-RA/daily_data/final/Sfax/MEDARE_Sfax_18860101-19571231_rr_daily.tsv
MEDARE_Sfax_60750,p,Sfax,1886-01-01,1957-12-31,26297,72.00,26297,1,1,0,1886-01-01..1957-12-31,/scratch3/PALAEO-RA/daily_data/final/Sfax/MEDARE_Sfax_60750_18860101-19571231_p_daily.tsv
MEDARE_Sidi-Bel-Abbes,rr,SidiBelAbbes,1880-01-01,1938-12-31,21549,59.00,21549,1,1,0,1880-01-01..1938-12-31,/scratch3/PALAEO-RA/daily_data/final/SidiBelAbbes/MEDARE_Sidi-Bel-Abbes_18800101-19381231_rr_daily.tsv
MEDARE_Tebessa,rr,Tebessa,1879-01-01,1938-12-31,21914,60.00,21914,1,1,0,1879-01-01..1938-12-31,/scratch3/PALAEO-RA/daily_data/final/Tebessa/MEDARE_Tebessa_18790101-19381231_rr_daily.tsv
MEDARE_Tebessa_60475,p,Tebessa,1879-01-01,1938-12-31,21914,60.00,21914,1,1,0,1879-01-01..1938-12-31,/scratch3/PALAEO-RA/daily_data/final/Tebessa/MEDARE_Tebessa_60475_18790101-19381231_p_daily.tsv
MEDARE_Tizi-Ouzou,rr,TiziOuzou,1879-01-01,1938-12-31,21914,60.00,21914,1,1,0,1879-01-01..1938-12-31,/scratch3/PALAEO-RA/daily_data/final/TiziOuzou/MEDARE_Tizi-Ouzou_18790101-19381231_rr_daily.tsv
